+------------+-------------+-----+--------------------+--------------------+----------------+
| Target     |  Non-Target | PCA | minDCF (\pi = 0.1) | minDCF (\pi = 0.5) | Primary Metric |
+------------+-------------+-----+--------------------+--------------------+----------------+
|   1-Full   |    8-Full   |  5  |       0.405        |       0.112        |     0.258      |
|   1-Full   |  8-Diagonal |  5  |       0.449        |       0.116        |     0.283      |
|   1-Full   |    8-Tied   |  5  |       0.447        |       0.117        |     0.282      |
|   1-Full   |   16-Full   |  5  |       0.442        |       0.117        |      0.28      |
|   1-Full   | 16-Diagonal |  5  |       0.449        |       0.117        |     0.283      |
|   1-Full   |   16-Tied   |  5  |       0.443        |       0.117        |      0.28      |
|   1-Full   |   32-Full   |  5  |       0.437        |       0.118        |     0.277      |
|   1-Full   | 32-Diagonal |  5  |       0.433        |       0.117        |     0.275      |
|   1-Full   |   32-Tied   |  5  |       0.429        |       0.116        |     0.272      |
|   1-Full   |   64-Full   |  5  |       0.446        |        0.12        |     0.283      |
|   1-Full   | 64-Diagonal |  5  |       0.441        |       0.119        |      0.28      |
|   1-Full   |   64-Tied   |  5  |       0.438        |       0.118        |     0.278      |
| 1-Diagonal |    8-Full   |  5  |       0.405        |       0.112        |     0.258      |
| 1-Diagonal |  8-Diagonal |  5  |       0.449        |       0.116        |     0.283      |
| 1-Diagonal |    8-Tied   |  5  |       0.447        |       0.117        |     0.282      |
| 1-Diagonal |   16-Full   |  5  |       0.442        |       0.117        |      0.28      |
| 1-Diagonal | 16-Diagonal |  5  |       0.449        |       0.117        |     0.283      |
| 1-Diagonal |   16-Tied   |  5  |       0.443        |       0.117        |      0.28      |
| 1-Diagonal |   32-Full   |  5  |       0.437        |       0.118        |     0.277      |
| 1-Diagonal | 32-Diagonal |  5  |       0.433        |       0.117        |     0.275      |
| 1-Diagonal |   32-Tied   |  5  |       0.429        |       0.116        |     0.272      |
| 1-Diagonal |   64-Full   |  5  |       0.446        |        0.12        |     0.283      |
| 1-Diagonal | 64-Diagonal |  5  |       0.441        |       0.119        |      0.28      |
| 1-Diagonal |   64-Tied   |  5  |       0.438        |       0.118        |     0.278      |
|   1-Tied   |    8-Full   |  5  |       0.405        |       0.112        |     0.258      |
|   1-Tied   |  8-Diagonal |  5  |       0.449        |       0.116        |     0.283      |
|   1-Tied   |    8-Tied   |  5  |       0.447        |       0.117        |     0.282      |
|   1-Tied   |   16-Full   |  5  |       0.442        |       0.117        |      0.28      |
|   1-Tied   | 16-Diagonal |  5  |       0.449        |       0.117        |     0.283      |
|   1-Tied   |   16-Tied   |  5  |       0.443        |       0.117        |      0.28      |
|   1-Tied   |   32-Full   |  5  |       0.437        |       0.118        |     0.277      |
|   1-Tied   | 32-Diagonal |  5  |       0.433        |       0.117        |     0.275      |
|   1-Tied   |   32-Tied   |  5  |       0.429        |       0.116        |     0.272      |
|   1-Tied   |   64-Full   |  5  |       0.446        |        0.12        |     0.283      |
|   1-Tied   | 64-Diagonal |  5  |       0.441        |       0.119        |      0.28      |
|   1-Tied   |   64-Tied   |  5  |       0.438        |       0.118        |     0.278      |
