Results with Polinomial Support Vector Machines
+------+--------+-----+--------------------+--------------------+----------------+
|  K   |   C    | PCA | minDCF (\pi = 0.1) | minDCF (\pi = 0.5) | Primary Metric |
+------+--------+-----+--------------------+--------------------+----------------+
| 0.01 | 0.0001 |  0  |       0.534        |        0.14        |     0.337      |
| 0.01 | 0.001  |  0  |       0.537        |       0.138        |     0.3375     |
| 0.01 |  0.01  |  0  |       0.514        |       0.129        |     0.3215     |
| 0.01 |  0.1   |  0  |       0.489        |       0.126        |     0.3075     |
| 0.01 |  1.0   |  0  |        0.49        |       0.125        |     0.3075     |
| 0.01 |  10.0  |  0  |       0.487        |       0.125        |     0.306      |
| 0.01 | 0.0001 |  5  |       0.529        |       0.132        |     0.3305     |
| 0.01 | 0.001  |  5  |       0.532        |       0.132        |     0.332      |
| 0.01 |  0.01  |  5  |       0.495        |       0.122        |     0.3085     |
| 0.01 |  0.1   |  5  |       0.475        |        0.12        |     0.2975     |
| 0.01 |  1.0   |  5  |       0.474        |        0.12        |     0.297      |
| 0.01 |  10.0  |  5  |       0.474        |       0.121        |     0.2975     |
| 0.1  | 0.0001 |  0  |       0.529        |       0.132        |     0.3305     |
| 0.1  | 0.001  |  0  |       0.532        |       0.132        |     0.332      |
| 0.1  |  0.01  |  0  |       0.495        |       0.122        |     0.3085     |
| 0.1  |  0.1   |  0  |       0.476        |       0.121        |     0.2985     |
| 0.1  |  1.0   |  0  |       0.475        |       0.119        |     0.298      |
| 0.1  |  10.0  |  0  |       0.476        |       0.119        |     0.2975     |
| 0.1  | 0.0001 |  5  |       0.529        |       0.132        |     0.3305     |
| 0.1  | 0.001  |  5  |       0.532        |       0.132        |     0.332      |
| 0.1  |  0.01  |  5  |       0.495        |       0.122        |     0.3085     |
| 0.1  |  0.1   |  5  |       0.476        |       0.121        |     0.2985     |
| 0.1  |  1.0   |  5  |       0.476        |       0.121        |     0.2985     |
| 0.1  |  10.0  |  5  |       0.474        |       0.121        |     0.2975     |
| 1.0  | 0.0001 |  0  |       0.529        |       0.132        |     0.3305     |
| 1.0  | 0.001  |  0  |       0.527        |       0.131        |     0.329      |
| 1.0  |  0.01  |  0  |       0.489        |       0.121        |     0.305      |
| 1.0  |  0.1   |  0  |       0.475        |        0.12        |     0.2975     |
| 1.0  |  1.0   |  0  |       0.477        |        0.12        |     0.2985     |
| 1.0  |  10.0  |  0  |       0.471        |        0.12        |     0.2955     |
| 1.0  | 0.0001 |  5  |       0.529        |       0.132        |     0.3305     |
| 1.0  | 0.001  |  5  |       0.527        |       0.131        |     0.329      |
| 1.0  |  0.01  |  5  |       0.489        |        0.12        |     0.3045     |
| 1.0  |  0.1   |  5  |       0.475        |        0.12        |     0.2975     |
| 1.0  |  1.0   |  5  |       0.474        |        0.12        |     0.297      |
| 1.0  |  10.0  |  5  |       0.472        |        0.12        |     0.296      |
+------+--------+-----+--------------------+--------------------+----------------+
