+------+--------+-----+----------------+-------------------+-------------------+-------+
|  K   |   C    | PCA |     Kernel     | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
+------+--------+-----+----------------+-------------------+-------------------+-------+
| 0.01 | 0.0001 |  5  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.01 | 0.001  |  5  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.01 |  0.01  |  5  | RBF(γ = 0.01)  |       0.394       |        0.13       | 0.262 |
| 0.01 |  0.1   |  5  | RBF(γ = 0.01)  |        0.37       |       0.107       | 0.238 |
| 0.01 |  1.0   |  5  | RBF(γ = 0.01)  |       0.356       |        0.11       | 0.233 |
| 0.01 |  10.0  |  5  | RBF(γ = 0.01)  |       0.402       |       0.129       | 0.266 |
| 0.01 | 0.0001 |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.01 | 0.001  |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.01 |  0.01  |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.01 |  0.1   |  5  | RBF(γ = 0.1)   |       0.411       |       0.128       | 0.269 |
| 0.01 |  1.0   |  5  | RBF(γ = 0.1)   |       0.446       |       0.157       | 0.302 |
| 0.01 |  10.0  |  5  | RBF(γ = 0.1)   |       0.561       |       0.215       | 0.388 |
| 0.01 | 0.0001 |  5  | RBF(γ = 1.0)   |       0.622       |       0.241       | 0.431 |
| 0.01 | 0.001  |  5  | RBF(γ = 1.0)   |       0.622       |       0.239       | 0.431 |
| 0.01 |  0.01  |  5  | RBF(γ = 1.0)   |       0.622       |       0.239       | 0.431 |
| 0.01 |  0.1   |  5  | RBF(γ = 1.0)   |       0.622       |       0.239       | 0.431 |
| 0.01 |  1.0   |  5  | RBF(γ = 1.0)   |       0.623       |       0.241       | 0.432 |
| 0.01 |  10.0  |  5  | RBF(γ = 1.0)   |       0.625       |       0.237       | 0.431 |
| 0.01 | 0.0001 |  0  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.01 | 0.001  |  0  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.01 |  0.01  |  0  | RBF(γ = 0.01)  |       0.394       |        0.13       | 0.262 |
| 0.01 |  0.1   |  0  | RBF(γ = 0.01)  |        0.37       |       0.107       | 0.238 |
| 0.01 |  1.0   |  0  | RBF(γ = 0.01)  |       0.356       |        0.11       | 0.233 |
| 0.01 |  10.0  |  0  | RBF(γ = 0.01)  |       0.402       |       0.129       | 0.266 |
| 0.01 | 0.0001 |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.01 | 0.001  |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.01 |  0.01  |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.01 |  0.1   |  0  | RBF(γ = 0.1)   |       0.411       |       0.128       | 0.269 |
| 0.01 |  1.0   |  0  | RBF(γ = 0.1)   |       0.446       |       0.157       | 0.302 |
| 0.01 |  10.0  |  0  | RBF(γ = 0.1)   |       0.561       |       0.215       | 0.388 |
| 0.01 | 0.0001 |  0  | RBF(γ = 1.0)   |       0.622       |       0.241       | 0.431 |
| 0.01 | 0.001  |  0  | RBF(γ = 1.0)   |       0.622       |       0.239       | 0.431 |
| 0.01 |  0.01  |  0  | RBF(γ = 1.0)   |       0.622       |       0.239       | 0.431 |
| 0.01 |  0.1   |  0  | RBF(γ = 1.0)   |       0.622       |       0.239       | 0.431 |
| 0.01 |  1.0   |  0  | RBF(γ = 1.0)   |       0.623       |       0.241       | 0.432 |
| 0.01 |  10.0  |  0  | RBF(γ = 1.0)   |       0.625       |       0.237       | 0.431 |
| 0.1  | 0.0001 |  5  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.1  | 0.001  |  5  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.1  |  0.01  |  5  | RBF(γ = 0.01)  |       0.396       |       0.126       | 0.261 |
| 0.1  |  0.1   |  5  | RBF(γ = 0.01)  |       0.371       |       0.108       |  0.24 |
| 0.1  |  1.0   |  5  | RBF(γ = 0.01)  |       0.355       |       0.109       | 0.232 |
| 0.1  |  10.0  |  5  | RBF(γ = 0.01)  |        0.4        |       0.127       | 0.263 |
| 0.1  | 0.0001 |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.1  | 0.001  |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.1  |  0.01  |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.1  |  0.1   |  5  | RBF(γ = 0.1)   |       0.446       |       0.118       | 0.282 |
| 0.1  |  1.0   |  5  | RBF(γ = 0.1)   |       0.482       |       0.138       |  0.31 |
| 0.1  |  10.0  |  5  | RBF(γ = 0.1)   |       0.577       |       0.163       |  0.37 |
| 0.1  | 0.0001 |  5  | RBF(γ = 1.0)   |       0.622       |       0.243       | 0.433 |
| 0.1  | 0.001  |  5  | RBF(γ = 1.0)   |       0.622       |       0.244       | 0.433 |
| 0.1  |  0.01  |  5  | RBF(γ = 1.0)   |       0.622       |       0.243       | 0.433 |
| 0.1  |  0.1   |  5  | RBF(γ = 1.0)   |       0.628       |       0.235       | 0.432 |
| 0.1  |  1.0   |  5  | RBF(γ = 1.0)   |       0.622       |       0.197       |  0.41 |
| 0.1  |  10.0  |  5  | RBF(γ = 1.0)   |       0.622       |       0.193       | 0.408 |
| 0.1  | 0.0001 |  0  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.1  | 0.001  |  0  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 0.1  |  0.01  |  0  | RBF(γ = 0.01)  |       0.396       |       0.126       | 0.261 |
| 0.1  |  0.1   |  0  | RBF(γ = 0.01)  |       0.371       |       0.108       |  0.24 |
| 0.1  |  1.0   |  0  | RBF(γ = 0.01)  |       0.355       |       0.109       | 0.232 |
| 0.1  |  10.0  |  0  | RBF(γ = 0.01)  |        0.4        |       0.127       | 0.263 |
| 0.1  | 0.0001 |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.1  | 0.001  |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.1  |  0.01  |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 0.1  |  0.1   |  0  | RBF(γ = 0.1)   |       0.446       |       0.118       | 0.282 |
| 0.1  |  1.0   |  0  | RBF(γ = 0.1)   |       0.482       |       0.138       |  0.31 |
| 0.1  |  10.0  |  0  | RBF(γ = 0.1)   |       0.577       |       0.163       |  0.37 |
| 0.1  | 0.0001 |  0  | RBF(γ = 1.0)   |       0.622       |       0.243       | 0.433 |
| 0.1  | 0.001  |  0  | RBF(γ = 1.0)   |       0.622       |       0.244       | 0.433 |
| 0.1  |  0.01  |  0  | RBF(γ = 1.0)   |       0.622       |       0.243       | 0.433 |
| 0.1  |  0.1   |  0  | RBF(γ = 1.0)   |       0.628       |       0.235       | 0.432 |
| 0.1  |  1.0   |  0  | RBF(γ = 1.0)   |       0.622       |       0.197       |  0.41 |
| 0.1  |  10.0  |  0  | RBF(γ = 1.0)   |       0.622       |       0.193       | 0.408 |
| 1.0  | 0.0001 |  5  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 1.0  | 0.001  |  5  | RBF(γ = 0.01)  |       0.391       |       0.108       |  0.25 |
| 1.0  |  0.01  |  5  | RBF(γ = 0.01)  |       0.409       |       0.106       | 0.257 |
| 1.0  |  0.1   |  5  | RBF(γ = 0.01)  |       0.385       |       0.105       | 0.245 |
| 1.0  |  1.0   |  5  | RBF(γ = 0.01)  |       0.359       |       0.107       | 0.233 |
| 1.0  |  10.0  |  5  | RBF(γ = 0.01)  |        0.4        |       0.121       | 0.261 |
| 1.0  | 0.0001 |  5  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 1.0  | 0.001  |  5  | RBF(γ = 0.1)   |       0.445       |       0.116       |  0.28 |
| 1.0  |  0.01  |  5  | RBF(γ = 0.1)   |       0.462       |       0.122       | 0.292 |
| 1.0  |  0.1   |  5  | RBF(γ = 0.1)   |       0.462       |       0.121       | 0.292 |
| 1.0  |  1.0   |  5  | RBF(γ = 0.1)   |       0.486       |       0.136       | 0.311 |
| 1.0  |  10.0  |  5  | RBF(γ = 0.1)   |       0.577       |       0.159       | 0.368 |
| 1.0  | 0.0001 |  5  | RBF(γ = 1.0)   |       0.622       |       0.244       | 0.433 |
| 1.0  | 0.001  |  5  | RBF(γ = 1.0)   |       0.628       |       0.239       | 0.434 |
| 1.0  |  0.01  |  5  | RBF(γ = 1.0)   |       0.625       |        0.2        | 0.412 |
| 1.0  |  0.1   |  5  | RBF(γ = 1.0)   |       0.621       |       0.192       | 0.407 |
| 1.0  |  1.0   |  5  | RBF(γ = 1.0)   |       0.621       |       0.192       | 0.406 |
| 1.0  |  10.0  |  5  | RBF(γ = 1.0)   |       0.622       |       0.193       | 0.407 |
| 1.0  | 0.0001 |  0  | RBF(γ = 0.01)  |       0.399       |       0.142       |  0.27 |
| 1.0  | 0.001  |  0  | RBF(γ = 0.01)  |       0.391       |       0.108       |  0.25 |
| 1.0  |  0.01  |  0  | RBF(γ = 0.01)  |       0.409       |       0.106       | 0.257 |
| 1.0  |  0.1   |  0  | RBF(γ = 0.01)  |       0.385       |       0.105       | 0.245 |
| 1.0  |  1.0   |  0  | RBF(γ = 0.01)  |       0.359       |       0.107       | 0.233 |
| 1.0  |  10.0  |  0  | RBF(γ = 0.01)  |        0.4        |       0.121       | 0.261 |
| 1.0  | 0.0001 |  0  | RBF(γ = 0.1)   |       0.421       |       0.124       | 0.273 |
| 1.0  | 0.001  |  0  | RBF(γ = 0.1)   |       0.445       |       0.116       |  0.28 |
| 1.0  |  0.01  |  0  | RBF(γ = 0.1)   |       0.462       |       0.122       | 0.292 |
| 1.0  |  0.1   |  0  | RBF(γ = 0.1)   |       0.462       |       0.121       | 0.292 |
| 1.0  |  1.0   |  0  | RBF(γ = 0.1)   |       0.486       |       0.136       | 0.311 |
| 1.0  |  10.0  |  0  | RBF(γ = 0.1)   |       0.577       |       0.159       | 0.368 |
| 1.0  | 0.0001 |  0  | RBF(γ = 1.0)   |       0.622       |       0.244       | 0.433 |
| 1.0  | 0.001  |  0  | RBF(γ = 1.0)   |       0.628       |       0.239       | 0.434 |
| 1.0  |  0.01  |  0  | RBF(γ = 1.0)   |       0.625       |        0.2        | 0.412 |
| 1.0  |  0.1   |  0  | RBF(γ = 1.0)   |       0.621       |       0.192       | 0.407 |
| 1.0  |  1.0   |  0  | RBF(γ = 1.0)   |       0.621       |       0.192       | 0.406 |
| 1.0  |  10.0  |  0  | RBF(γ = 1.0)   |       0.622       |       0.193       | 0.407 |
+------+--------+-----+----------------+-------------------+-------------------+-------+
